RunwayAreaAffected,ObstacleType, Latitude, Longitude,Elevation( in FT),Marking,Remarks
32/APCH14/TKOF,BUILDING,190436.9N,0725301.8E,110,NIL,BUILDING
32/APCH14/TKOF,BUILDING,190417.5N,0725302.1E,106,NIL,BUILDING
32/APCH14/TKOF,BUILDING,190427.8N,0725258.8E,90,NIL,BUILDING
32/APCH14/TKOF,BUILDING,190427.2N,0725300.3E,94,NIL,BUILDING
32/APCH14/TKOF,BUILDING,190307.0N,0725409.0E,232,NIL,BUILDING
32/APCH14/TKOF,BUILDING,190318.0N,0725349.1E,193,NIL,BUILDING
32/APCH14/TKOF,BUILDING,190327.4N,0725359.1E,196,NIL,BUILDING
32/APCH14/TKOF,BUILDING,190327.8N,0725407.9E,211,NIL,BUILDING
32/APCH14/TKOF,BUILDING,190307.0N,0725357.0E,275,NIL,BUILDING
32/APCH14/TKOF,OTHER,190314.3N,0725403.8E,224,NIL,HOARDING ON BUILDING
32/APCH14/TKOF,BUILDING,190314.0N,0725406.8E,196,NIL,BUILDING
32/APCH14/TKOF,OTHER,190358.8N,0725354.0E,211,NIL,PYLON
32/APCH14/TKOF,OTHER,190337.3N,0725427.0E,194,NIL,PYLON
32/APCH14/TKOF,TREE,190439.8N,0725244.9E,82,NIL,COCONUT TREE
32/APCH14/TKOF,TREE,190436.5N,0725245.8E,72,NIL,GROUP OF TREES (COCONUT)
32/APCH14/TKOF,TREE,190437.2N,0725247.6E,73,NIL,GROUP OF TREES (COCONUT)
32/APCH14/TKOF,TREE,190438.2N,0725249.4E,73,NIL,COCONUT TREE
32/APCH14/TKOF,TREE,190439.8N,0725251.1E,78,NIL,COCONUT TREE
32/APCH14/TKOF,BUILDING,190442.1N,0725240.9E,62,NIL,BUILDING
32/APCH14/TKOF,OTHER,190444.7N,0725241.9E,43,NIL,APPROACH LIGHT
32/APCH14/TKOF,OTHER,190446.4N,0725236.8E,31,NIL,HOARDING
32/APCH14/TKOF,POLE,190446.5N,0725236.1E,30,NIL,LIGHT POLE
32/APCH14/TKOF,OTHER,190448.1N,0725238.2E,29,NIL,APPROACH LIGHT
32/APCH14/TKOF,ANTENNA,190445.8N,0725239.9E,32,LGTD,LLZ 14
32/APCH14/TKOF,BUILDING,190445.4N,0725237.9E,42,LGTD,LLZ BUILDING
32/APCH14/TKOF,OTHER,190442.7N,0725247.7E,52,NIL,CHIMNEY ON BUILDING
32/APCH14/TKOF,ANTENNA,190439.5N,0725244.5E,68,NIL,ANTENNA ON BUILDING
32/APCH14/TKOF,BUILDING,190434.4N,0725246.4E,70,NIL,BUILDING
32/APCH14/TKOF,BUILDING,190435.5N,0725246.3E,67,NIL,BUILDING
32/APCH14/TKOF,BUILDING,190435.4N,0725247.1E,66,NIL,BUILDING
32/APCH14/TKOF,BUILDING,190439.0N,0725247.1E,58,NIL,BUILDING
32/APCH14/TKOF,BUILDING,190439.0N,0725249.7E,70,NIL,BUILDING
32/APCH14/TKOF,BUILDING,190439.5N,0725249.5E,66,NIL,BUILDING
32/APCH14/TKOF,OTHER,190442.2N,0725248.2E,61,NIL,HOARDING ON BUILDING
32/APCH14/TKOF,BUILDING,190435.5N,0725300.8E,86,NIL,BUILDING
32/APCH14/TKOF,BUILDING,190314.9N,0725404.8E,194,NIL,BUILDING
32/APCH14/TKOF,POLE,190441.6N,0725239.4E,44,NIL,LIGHT POLE
32/APCH14/TKOF,POLE,190441.3N,0725239.0E,42,NIL,LIGHT POLE
32/APCH14/TKOF,POLE,190441.6N,0725238.5E,47,NIL,LIGHT POLE
32/APCH14/TKOF,POLE,190442.4N,0725236.9E,47,NIL,LIGHT POLE
32/APCH14/TKOF,POLE,190442.9N,0725236.0E,51,NIL,LIGHT POLE
32/APCH14/TKOF,POLE,190442.2N,0725237.6E,50,NIL,LIGHT POLE
32/APCH14/TKOF,OTHER,190426.2N,0725252.8E,85,NIL,PYLON
32/APCH14/TKOF,ANTENNA,190433.1N,0725252.7E,85,NIL,ANTENNA ON BUILDING
32/APCH14/TKOF,TREE,190445.9N,0725247.2E,61,NIL,GROUP OF TREES
32/APCH14/TKOF,TREE,190444.9N,0725247.0E,56,NIL,TREE
32/APCH14/TKOF,TREE,190439.9N,0725244.6E,70,NIL,COCONUT TREE
32/APCH14/TKOF,TREE,190436.2N,0725247.4E,70,NIL,GROUP OF TREES (COCONUT)
32/APCH14/TKOF,TREE,190441.2N,0725245.4E,52,NIL,TREE
32/APCH14/TKOF,TREE,190441.8N,0725246.0E,53,NIL,TREE
32/APCH14/TKOF,BUILDING,190315.9N,0725359.3E,224,NIL,BUILDING
32/APCH14/TKOF,BUILDING,190323.1N,0725413.2E,201,NIL,BUILDING
32/APCH14/TKOF,BUILDING,190321.6N,0725413.4E,218,NIL,BUILDING
32/APCH14/TKOF,BUILDING,190314.7N,0725406.3E,197,NIL,BUILDING
32/APCH14/TKOF,BUILDING,190323.5N,0725411.2E,195,NIL,BUILDING
32/APCH14/TKOF,BUILDING,190315.6N,0725400.7E,206,NIL,BUILDING
32/APCH14/TKOF,BUILDING,190337.3N,0725414.4E,193,NIL,BUILDING
32/APCH14/TKOF,BUILDING,190333.6N,0725413.3E,193,NIL,BUILDING
32/APCH14/TKOF,BUILDING,190434.8N,0725258.6E,77,NIL,BUILDING
In circling area and at AD,BUILDING,190436.2N,0725407.0E,197,NIL,BUILDING
In circling area and at AD,BUILDING,190447.1N,0725248.5E,54,NIL,BUILDING
In circling area and at AD,TREE,190432.5N,0725404.3E,229,NIL,MAST ON BUILDING
In circling area and at AD,OTHER,190427.3N,0725247.6E,112,NIL,PYLON
In circling area and at AD,ANTENNA,190441.1N,0725259.6E,119,NIL,ANTENNA TOP ON BUILDING
In circling area and at AD,ANTENNA,190442.9N,0725235.1E,61,NIL,ANTENNA TOP ON BUILDING
In circling area and at AD,ANTENNA,190450.7N,0725247.3E,74,NIL,ANTENNA TOP ON BUILDING
In circling area and at AD,BUILDING,190447.5N,0725250.5E,79,NIL,BUILDING
In circling area and at AD,TREE,190445.9N,0725252.3E,72,NIL,COCONUT TREE
In circling area and at AD,OTHER,190315.0N,0725258.4E,267,NIL,PYLON
In circling area and at AD,BUILDING,190438.7N,0725309.2E,156,NIL,BUILDING
In circling area and at AD,BUILDING,190431.6N,0725315.2E,147,NIL,BUILDING
In circling area and at AD,OTHER,190403.7N,0725356.3E,205,NIL,HOARDING ON BUILDING
In circling area and at AD,BUILDING,190436.6N,0725310.8E,149,NIL,BUILDING
In circling area and at AD,ANTENNA,190431.2N,0725244.6E,89,LGTD,CELLPHONE MAST ON BUILDING
In circling area and at AD,BUILDING,190319.2N,0725327.4E,198,NIL,BUILDING
In circling area and at AD,BUILDING,190319.5N,0725322.9E,196,NIL,BUILDING
In circling area and at AD,OTHER,190401.7N,0725357.4E,193,NIL,PYLON
In circling area and at AD,OTHER,190335.8N,0725324.0E,234,NIL,PYLON
In circling area and at AD,OTHER,190335.3N,0725322.4E,208,NIL,PYLON
In circling area and at AD,BUILDING,190401.2N,0725210.3E,263,NIL,BUILDING
In circling area and at AD,BUILDING,190320.9N,0725220.4E,253,NIL,BUILDING
In circling area and at AD,OTHER,190229.9N,0725317.7E,418,NIL,CHIMNEY
In circling area and at AD,OTHER,190503.8N,0725223.3E,24,NIL,HOARDING
In circling area and at AD,OTHER,190454.4N,0725233.5E,28,NIL,HOARDING
In circling area and at AD,OTHER,190452.0N,0725231.7E,27,NIL,HOARDING
In circling area and at AD,OTHER,190454.8N,0725235.2E,27,NIL,HOARDING
In circling area and at AD,OTHER,190459.7N,0725231.1E,45,LGTD,WIND SOCK
In circling area and at AD,POLE,190500.1N,0725217.1E,38,NIL,LIGHT POLE
In circling area and at AD,OTHER,190452.6N,0725239.8E,29,NIL,AIRPORT BOUNDARY WALL
In circling area and at AD,POLE,190447.8N,0725241.1E,30,NIL,LIGHT POLE
In circling area and at AD,OTHER,190508.5N,0725234.3E,126,NIL,SMR 2
In circling area and at AD,BUILDING,190318.9N,0725349.6E,191,NIL,BUILDING
In circling area and at AD,POLE,190444.0N,0725233.9E,47,NIL,LIGHT POLE
In circling area and at AD,OTHER,190315.5N,0725257.7E,259,NIL,PYLON
In circling area and at AD,OTHER,190440.2N,0725237.6E,49,NIL,HOARDING
In circling area and at AD,BUILDING,190305.6N,0725350.5E,210,NIL,BUILDING
In circling area and at AD,TREE,190500.1N,0725216.5E,67,NIL,GROUP OF TREES
In circling area and at AD,TREE,190457.8N,0725215.6E,77,NIL,GROUP OF TREES
In circling area and at AD,BUILDING,190439.3N,0725302.6E,120,NIL,BUILDING
In circling area and at AD,OTHER,190443.5N,0725257.5E,101,NIL,STAIRCASE ON BUILDING (MUMTEE)
