Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
In circling area and at AD,POLE,23.1838055555556,80.0603055555556,1646,NIL,Disused Pole
In circling area and at AD,POLE,23.1838611111111,80.0604444444444,1650,NIL,Disused Pole
In circling area and at AD,TREE,23.1845833333333,80.0610277777778,1677,NIL,Tree
In circling area and at AD,TREE,23.1848055555556,80.0610277777778,1682,NIL,Tree
In circling area and at AD,TREE,23.185,80.0616388888889,1677,NIL,Tree
In circling area and at AD,TREE,23.1850555555556,80.0614722222222,1675,NIL,Tree
In circling area and at AD,POLE,23.1836944444444,80.0603611111111,1642,NIL,Disused Pole
In circling area and at AD,TREE,23.1844444444444,80.0607777777778,1675,NIL,Tree
In circling area and at AD,POLE,23.1807222222222,80.0555833333333,1640,NIL,Wind Direction Indicator
