Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
In circling area and at AD,TREE,26.8208055555556,75.7959722222222,1319,NIL,GROUP OF TREES
In circling area and at AD,BUILDING,26.8250277777778,75.7974722222222,1310,NIL,BUILDING
In circling area and at AD,TREE,26.8209722222222,75.7965833333333,1298,NIL,GROUP OF TREES
In circling area and at AD,TREE,26.8210555555556,75.7975,1302,NIL,GROUP OF TREES
In circling area and at AD,TREE,26.8211388888889,75.7983888888889,1307,NIL,GROUP OF TREES
In circling area and at AD,TREE,26.8212222222222,75.7989166666667,1307,NIL,GROUP OF TREES
In circling area and at AD,OTHER,26.8317222222222,75.7788333333333,1412,NIL,MAST
In circling area and at AD,OTHER,26.8497777777778,75.7879166666667,1422,NIL,CHIMNEY
In circling area and at AD,OTHER,26.9373333333333,75.8168888888889,1999,NIL,MAST ON HILL
In circling area and at AD,OTHER,26.8694444444444,75.8302222222222,1901,NIL,HILL TOP
In circling area and at AD,OTHER,26.866,75.8297777777778,1864,NIL,HAZARD LIGHT (SOLAR LIGHT) ON HILL
In circling area and at AD,OTHER,26.8562222222222,75.8453611111111,1804,NIL,HILL TOP
In circling area and at AD,OTHER,26.8414166666667,75.8302222222222,1467,NIL,MAST In c
ircling area and at AD,OTHER,26.8473333333333,75.84475,1705,NIL,HILL TOP
In circling area and at AD,OTHER,26.8470833333333,75.8453611111111,1715,NIL,HAZARD LIGHT (SOLAR LIGHT) ON HILL
In circling area and at AD,OTHER,26.9017777777778,75.8574166666667,2156,NIL,MAST ON HILL
In circling area and at AD,OTHER,26.8466666666667,75.8006111111111,1445,NIL,HOTEL AMAR CLARCKS
